Time [s],Channel 2
3.270813333,1
3.270917500,0
3.271021667,1
3.271125833,0
3.271334250,1
3.271751000,0
3.271959333,1
3.272063500,0
3.272167667,1
3.272271917,0
3.272376083,1
3.272480250,0
3.272688583,1
3.273105333,0
3.273313667,1
3.273417917,0
3.273522083,1
3.273626250,0
3.273730417,1
3.273834583,0
3.274043000,1
3.274459750,0
3.274668083,1
3.274772250,0
3.274876417,1
3.274980667,0
3.275084833,1
3.275189000,0
3.275397333,1
3.275814083,0
3.276022500,1
3.276126667,0
3.276230833,1
3.276335000,0
3.276439167,1
3.276543417,0
3.276751750,1
3.277168500,0
3.277376833,1
3.277481000,0
3.277585250,1
3.277689417,0
3.277793583,1
3.277897750,0
3.278106167,1
3.278522833,0
3.278731250,1
3.278835417,0
3.278939583,1
3.279043750,0
3.279148000,1
3.279252167,0
3.279460500,1
3.279877250,0
3.280085583,1
3.280189833,0
3.280294000,1
3.280398167,0
3.280502333,1
3.280606500,0
3.280814917,1
3.281231583,0
3.281440000,1
3.281544167,0
3.281648333,1
3.281752500,0
3.281856750,1
3.281960917,0
3.282169250,1
3.282586000,0
3.282794333,1
3.282898583,0
3.283002750,1
3.283106917,0
3.283211083,1
3.283315250,0
3.283523667,1
3.283940417,0
3.284148750,1
3.284252917,0
3.284357083,1
3.284461333,0
3.284565500,1
3.284669667,0
3.284878000,1
3.285294750,0
3.285503167,1
3.285607333,0
3.285711500,1
3.285815667,0
3.285919833,1
3.286024083,0
3.286232417,1
3.286649167,0
3.286857500,1
3.286961667,0
3.287065917,1
3.287170083,0
3.287274250,1
3.287378417,0
3.287586833,1
3.288003500,0
3.288211917,1
3.288316083,0
3.288420250,1
3.288524417,0
3.288628583,1
3.288732833,0
3.288941167,1
3.289357917,0
3.289566250,1
3.289670417,0
3.289774667,1
3.289878833,0
3.289983000,1
3.290087167,0
3.290295583,1
3.290712250,0
3.290920667,1
3.291024833,0
3.291129000,1
3.291233167,0
3.291337417,1
3.291441583,0
3.291649917,1
3.292066667,0
3.292170833,1
3.292275000,0
3.292379250,1
3.292587583,0
3.293004333,1
3.293421083,0
3.293629417,1
3.293733583,0
3.293837750,1
3.293942000,0
3.294462917,1
3.294775417,0
3.294983833,1
3.295088000,0
3.295192167,1
3.295296333,0
3.295400500,1
3.295504750,0
3.295713083,1
3.296129833,0
3.296754917,1
3.296859083,0
3.297067500,1
3.297484167,0
3.298109250,1
3.298213500,0
3.298421833,1
3.298838583,0
3.299463667,1
3.299567833,0
3.299776250,1
3.300192917,0
3.300818083,1
3.300922250,0
3.301130583,1
3.301547333,0
3.302172417,1
3.302276583,0
3.302485000,1
3.302901750,0
3.303214250,1
3.303318417,0
3.303422667,1
3.303526833,0
3.303631000,1
3.303735167,0
3.303839333,1
3.304256083,0
3.304360250,1
3.304464417,0
3.304568667,1
3.304672833,0
3.304881167,1
3.305089583,0
3.305297917,1
3.305610500,0
3.305923000,1
3.306131417,0
3.306235583,1
3.306443917,0
3.306652333,1
3.306964833,0
3.307173250,1
3.307485750,0
3.307589917,1
3.307798333,0
3.307902500,1
3.308319250,0
3.308423417,1
3.308527583,0
3.308631750,1
3.308736000,0
3.308944333,1
3.309152667,0
3.309361083,1
3.309673583,0
3.309986167,1
3.310090333,0
3.310194500,1
3.310507083,0
3.310715417,1
3.311028000,0
3.311653083,1
3.311757250,0
3.311965667,1
3.312382333,0
3.312486583,1
3.312694917,0
3.313007500,1
3.313215833,0
3.313424167,1
3.313736750,0
3.313840917,1
3.314257667,0
3.314361833,1
3.314570250,0
3.314778583,1
3.315091167,0
3.315299500,1
3.315612083,0
3.315716250,1
3.315924583,0
3.316028750,1
3.316445500,0
3.316653917,1
3.316966417,0
3.317070583,1
3.317279000,0
3.317383167,1
3.317799917,0
